name	layer	type
SERPINE1	transcriptomic	gene
THG1L	transcriptomic	gene
RCC1L	transcriptomic	gene
LAMTOR1	transcriptomic	gene
GRN	transcriptomic	gene
BAG6	transcriptomic	gene
TPGS2	transcriptomic	gene
HCFC1	transcriptomic	gene
ZNF141	transcriptomic	gene
TBCB	transcriptomic	gene
SNRNP40	transcriptomic	gene
ARAF	transcriptomic	gene
GPR183	transcriptomic	gene
TRIM56	transcriptomic	gene
ARHGDIA	transcriptomic	gene
STX4	transcriptomic	gene
NME1	transcriptomic	gene
PLCB4	transcriptomic	gene
VPS4A	transcriptomic	gene
LAMTOR2	transcriptomic	gene
ZBTB16	transcriptomic	gene
STX5	transcriptomic	gene
COPS7A	transcriptomic	gene
LGALS3BP	transcriptomic	gene
RBCK1	transcriptomic	gene
MGAM	transcriptomic	gene
DOCK10	transcriptomic	gene
MICOS13	transcriptomic	gene
ANAPC11	transcriptomic	gene
RBP4	transcriptomic	gene
ARAP1	transcriptomic	gene
OR2T34	transcriptomic	gene
MRI1	transcriptomic	gene
SLIT2	transcriptomic	gene
TRPM6	transcriptomic	gene
MAP3K8	transcriptomic	gene
ANXA1	transcriptomic	gene
TNFSF13	transcriptomic	gene
RGS12	transcriptomic	gene
ATG101	transcriptomic	gene
TP53	transcriptomic	gene
IRAK3	transcriptomic	gene
CYS1	transcriptomic	gene
GTF2F1	transcriptomic	gene
U2AF2	transcriptomic	gene
LSM2	transcriptomic	gene
UQCC2	transcriptomic	gene
BANF1	transcriptomic	gene
SNRPC	transcriptomic	gene
TRIAP1	transcriptomic	gene
OAZ1	transcriptomic	gene
UCKL1	transcriptomic	gene
CST3	transcriptomic	gene
CHERP	transcriptomic	gene
PLN	transcriptomic	gene
PKN1	transcriptomic	gene
AKT2	transcriptomic	gene
DOCK11	transcriptomic	gene
MEF2D	transcriptomic	gene
GRB7	transcriptomic	gene
RELA	transcriptomic	gene
RPS6KB2	transcriptomic	gene
