id	kind	layer	name
P55212	Gene	transcriptomic	P55212
P29466	Gene	transcriptomic	P29466
O14920	Gene	transcriptomic	O14920
Q9H4X1	Gene	transcriptomic	Q9H4X1
O60238	Gene	transcriptomic	O60238
P21580	Gene	transcriptomic	P21580
O15392	Gene	transcriptomic	O15392
Q9UBU7	Gene	transcriptomic	Q9UBU7
O94916	Gene	transcriptomic	O94916
Q08334	Gene	transcriptomic	Q08334
P27701	Gene	transcriptomic	P27701
Q96CF2	Gene	transcriptomic	Q96CF2
P39060	Gene	transcriptomic	P39060
O94907	Gene	transcriptomic	O94907
Q08345	Gene	transcriptomic	Q08345
P41279	Gene	transcriptomic	P41279
P07339	Gene	transcriptomic	P07339
Q15831	Gene	transcriptomic	Q15831
Q08257	Gene	transcriptomic	Q08257
Q9NX09	Gene	transcriptomic	Q9NX09
P78423	Gene	transcriptomic	P78423
Q9H2X6	Gene	transcriptomic	Q9H2X6
Q14738	Gene	transcriptomic	Q14738
Q13362	Gene	transcriptomic	Q13362
P36896	Gene	transcriptomic	P36896
P04406	Gene	transcriptomic	P04406
O00574	Gene	transcriptomic	O00574
Q9NZH6	Gene	transcriptomic	Q9NZH6
P55210	Gene	transcriptomic	P55210
P42701	Gene	transcriptomic	P42701
O95760	Gene	transcriptomic	O95760
P51681	Gene	transcriptomic	P51681
Q13112	Gene	transcriptomic	Q13112
P50591	Gene	transcriptomic	P50591
O14798	Gene	transcriptomic	O14798
O14763	Gene	transcriptomic	O14763
Q9Y294	Gene	transcriptomic	Q9Y294
Q9NVP2	Gene	transcriptomic	Q9NVP2
Q9Y5B9	Gene	transcriptomic	Q9Y5B9
P42224	Gene	transcriptomic	P42224
Q15628	Gene	transcriptomic	Q15628
Q13794	Gene	transcriptomic	Q13794
Q12933	Gene	transcriptomic	Q12933
P11802	Gene	transcriptomic	P11802
Q9Y572	Gene	transcriptomic	Q9Y572
Q96AZ6	Gene	transcriptomic	Q96AZ6
Q92466	Gene	transcriptomic	Q92466
P16104	Gene	transcriptomic	P16104
P55072	Gene	transcriptomic	P55072
O15524	Gene	transcriptomic	O15524
Q13651	Gene	transcriptomic	Q13651
P51878	Gene	transcriptomic	P51878
P29597	Gene	transcriptomic	P29597
P09038	Gene	transcriptomic	P09038
Q9ULZ3	Gene	transcriptomic	Q9ULZ3
P35228	Gene	transcriptomic	P35228
P54840	Gene	transcriptomic	P54840
Q494V2	Gene	transcriptomic	Q494V2
P35568	Gene	transcriptomic	P35568
P01583	Gene	transcriptomic	P01583
Q9Y4H2	Gene	transcriptomic	Q9Y4H2
Q12772	Gene	transcriptomic	Q12772
P13807	Gene	transcriptomic	P13807
Q96A56	Gene	transcriptomic	Q96A56
P22570	Gene	transcriptomic	P22570
P06733	Gene	transcriptomic	P06733
Q9BYX4	Gene	transcriptomic	Q9BYX4
Q7Z434	Gene	transcriptomic	Q7Z434
Q01831	Gene	transcriptomic	Q01831
Q9NQ88	Gene	transcriptomic	Q9NQ88
P60174	Gene	transcriptomic	P60174
P11387	Gene	transcriptomic	P11387
P10914	Gene	transcriptomic	P10914
P04075	Gene	transcriptomic	P04075
Q9UHD2	Gene	transcriptomic	Q9UHD2
Q14164	Gene	transcriptomic	Q14164
P15260	Gene	transcriptomic	P15260
